gamma_path,WELL,UWI,DEPTH_REFERENCE_ID,Reference Point,gamma_instrument,Columns,fitler1,filter1_min_window,filter1_window_size,min_depth,max_depth
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\West_Davenport\RN017587\RN017587_Gamma_Down2.las,RN017587,621379,5,top of casing,A031,GAMMA_CALIBRATED,binomial,11,11,-0.76,94.75
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\West_Davenport\RN017589\RN017589_Gamma_Down.LAS,RN017589,628358,5,top of casing,A031,GAMMA,binomial,11,11,1.1952,47.0634
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\West_Davenport\RN017591\RN017591_Gamma_down.LAS,RN017591,628359,5,top of casing,A031,GAMMA,binomial,11,11,1.1952,42.8826
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\West_Davenport\RN017594\RN017594_Gamma_Down.LAS,RN017594,628357,5,top of casing,A031,GAMMA,binomial,11,11,1.1952,36.0285
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\TiTree\RN018133\RN018133_Gamma_Down.LAS,RN018133,628367,10,top of casing protector,A031,GAMMA,binomial,11,11,1.1952,72.9321
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Alice_Springs\RN018334\RN018334_Gamma_down.LAS,RN018334,621377,5,top of casing,A031,GAMMA,binomial,11,11,1.1952,47.988
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\West_Davenport\RN018402\RN018402_Gamma_Down.LAS,RN018402,628356,10,top of casing protector,A031,GAMMA,binomial,11,11,1.1952,52.1085
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\TiTree\RN018603\RN018603_Gamma_down.LAS,RN018603,628369,10,top of casing protector,A031,GAMMA,binomial,11,11,1.1952,59.9877
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\TiTree\RN018612\RN018612_Gamma_down.LAS,RN018612,628364,10,top of casing protector,A031,GAMMA,binomial,11,11,1.1952,81.9972
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\TiTree\RN018892\RN018892_Gamma_Down.LAS,RN018892,628370,10,top of casing protector,A031,GAMMA,binomial,11,11,1.1952,74.0175
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\TiTree\RN018912\RN018912_Gamma_down.LAS,RN018912,628363,10,top of casing protector,A031,GAMMA,binomial,11,11,1.1952,73.0728
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\TiTree\RN018921\RN018921_Gamma_down.LAS,RN018921,628365,3,unknown,A031,GAMMA,binomial,11,11,1.1952,161.03
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\TiTree\RN018925\RN018925_Gamma_down.LAS,RN018925,628368,3,unknown,A031,GAMMA,binomial,11,11,1.1952,87.3438
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\West_Davenport\RN019114\RN019114_Gamma_Down.LAS,RN019114,628360,10,top of casing protector,A031,GAMMA,binomial,11,11,1.1952,68.7111
