induction_path,WELL,UWI,DEPTH_REFERENCE_ID_x,Reference Point,induction_instrument,filter1,filter1_min_window,filter1_window_size,filter2,filter2_min_window,filter2_window_size,sampling_interval,Columns,min_depth,max_depth
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\RN007412\RN007412_induction_down.las,RN007412,636181,5,top of casing,HII-383,median,5,15,binomial,5,15,0.1,"DEEP_INDUCTION,MEDIUM_INDUCTION",0,22.465
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Tennant_Creek\RN013453\RN013453_Ind_Up.las,RN013453,621386,5,top of casing,A034,median,5,15,binomial,5,15,0.1,INDUCTION_CALIBRATED,0.823,39.673
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Tennant_Creek\RN013454\RN013454_Ind_Down.las,RN013454,621385,5,top of casing,A034,median,5,15,binomial,5,15,0.1,INDUCTION_CALIBRATED,0.818,35.798
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Tennant_Creek\RN013455\RN013455_Induction_Down.las,RN013455,621384,5,top of casing,A034,median,5,15,binomial,5,15,0.1,INDUCTION_CALIBRATED,0,10.505
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Tennant_Creek\RN013457\RN013457_Induction_Down.las,RN013457,621383,5,top of casing,A034,median,5,15,binomial,5,15,0.1,INDUCTION_CALIBRATED,0,51.682
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Tennant_Creek\RN013458\RN013458_Induction_Down.las,RN013458,621382,5,top of casing,A034,median,5,15,binomial,5,15,0.1,INDUCTION_CALIBRATED,0,35.45
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\West_Davenport\RN016933\RN016933_Induction_down.LAS,RN016933,628355,5,top of casing,HII-383,median,5,15,binomial,5,15,0.1,"DEEP_INDUCTION,MEDIUM_INDUCTION",4.9717,53.9956
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Alice_Springs\RN017339\RN017339_Induction_down.LAS,RN017339,626660,3,unknown,HII-383,median,5,15,binomial,5,15,0.1,"DEEP_INDUCTION,MEDIUM_INDUCTION",1.4399,55.9712
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\TiTree\RN017350\RN017350_Induction_down.LAS,RN017350,628366,5,top of casing,HII-383,median,5,15,binomial,5,15,0.1,"DEEP_INDUCTION,MEDIUM_INDUCTION",5.446,93.5443
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Alice_Springs\RN017393\RN017393_Induction_down.LAS,RN017393,628371,3,unknown,HII-383,median,5,15,binomial,5,15,0.1,"DEEP_INDUCTION,MEDIUM_INDUCTION",23.4703,67.027
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Alice_Springs\RN017536\RN017536_Induction_Down_0_100m.las,RN017536,621381,5,top of casing,A034,median,5,15,binomial,5,15,0.1,INDUCTION_CALIBRATED,0,101.12
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Alice_Springs\RN017536\RN017536_Induction_Down_100_200m.las,RN017536,621381,5,top of casing,A034,median,5,15,binomial,5,15,0.1,INDUCTION_CALIBRATED,100.13,211.16
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Alice_Springs\RN017536\RN017536_Induction_Down_200_EOH.las,RN017536,621381,5,top of casing,A034,median,5,15,binomial,5,15,0.1,INDUCTION_CALIBRATED,209.782,311.102
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Alice_Springs\RN017537\RN017537_Induction_Up.las,RN017537,621380,5,top of casing,A034,median,5,15,binomial,5,15,0.1,INDUCTION_CALIBRATED,4.69,112.36
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\West_Davenport\RN017585\RN017585_Induction_down.LAS,RN017585,628354,5,top of casing,HII-383,median,5,15,binomial,5,15,0.1,"DEEP_INDUCTION,MEDIUM_INDUCTION",4.9717,80.005
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\West_Davenport\RN017587\RN017587_Induction_Down.las,RN017587,621379,5,top of casing,A034,median,5,15,binomial,5,15,0.1,INDUCTION_CALIBRATED,0,95.06
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\West_Davenport\RN017589\RN017589_Induction_Down.las,RN017589,628358,5,top of casing,A034,median,5,15,binomial,5,15,0.1,INDUCTION_CALIBRATED,0,46.45
